,Date,ID,url,username,source,location,tweet,num_of_likes,num_of_retweet
58,2022-09-13 19:00:01+00:00,1569762842152148992,https://twitter.com/SXMCollege/status/1569762842152148992,SXMCollege,Twitter Web App,A campus near you.,"The Kansas Jayhawks have opened the season 2-0. Major reason? @KU_Football QB Jalon Daniels

@JalonDaniels6 explained what's been different since HC Lance Leipold took over &amp; the new culture in Lawrence. #RockChalk https://t.co/YbUkUPqz4E",4,0
59,2022-09-11 13:39:57+00:00,1568957520470851584,https://twitter.com/Roger__Hardy/status/1568957520470851584,Roger__Hardy,Twitter Web App,"Fort Worth, Texas",Another thing that is impressive about Lance Leipold is how he develops the talent he inherited. Jalon Daniels was absolutely awful as a freshman QB. Daniels made huge progress his sophomore year &amp; outplaying WVU QB JT Daniels was vital to yesterday's win over the Mountaineers.,1,0
60,2022-09-11 03:35:30+00:00,1568805407853875200,https://twitter.com/BrendanDzw/status/1568805407853875200,BrendanDzw,Twitter for iPhone,Lawrence/Topeka,"Lance Leipold. Jalon Daniels. Cobee Bryant. 2-0.

Talkin’ hawks: https://t.co/QTnNiyRCZn",1,0
61,2022-09-11 03:33:41+00:00,1568804949340872705,https://twitter.com/ChasenScott/status/1568804949340872705,ChasenScott,TweetDeck,"Kansas City, MO","Are you tired? OF COURSE not. 

Come hang out while we break down the #kufball win! Talking Jalon Daniels, Devin Neal, Lance Leipold and more... https://t.co/NeIymNJIOo",27,3
62,2022-09-11 02:19:48+00:00,1568786357161725952,https://twitter.com/PowelliteSZN/status/1568786357161725952,PowelliteSZN,Twitter for iPhone,,Jalon Daniels and Lance Leipold is the best coach QB duo in CFB https://t.co/5OuiTQiJFk,1,0
63,2022-09-11 01:44:41+00:00,1568777519268040704,https://twitter.com/slancehoops/status/1568777519268040704,slancehoops,Twitter for iPhone,University of Kansas,"Lance Leipold on Jalon Daniels: “He’s such a gritty competitor.” 

#kufball",29,0
64,2022-09-11 01:43:16+00:00,1568777161762570240,https://twitter.com/DylanLysen/status/1568777161762570240,DylanLysen,Twitter for iPhone,Kansas,Devin Neal rules. Jalon Daniels rules. Lance Leipold rules. Rock Chalk.,12,0
65,2022-09-06 16:48:01+00:00,1567192908570284041,https://twitter.com/ctbecker/status/1567192908570284041,ctbecker,TweetDeck,"Lawrence, Kansas","Kansas coach Lance Leipold said QB Jalon Daniels is ""feeling good about what we're asking him to do"" heading into the West Virginia contest. #kufball",51,4
66,2022-09-04 17:40:25+00:00,1566481323014979584,https://twitter.com/kansas247/status/1566481323014979584,kansas247,TweetDeck,"Lawrence, Kansas","Jalon Daniels, Lance Leipold break down QBs performance vs. Tennessee Tech. #KUfball

Read: https://t.co/1HBEeaDEGU https://t.co/9LSvu3aPoh",16,4
67,2022-09-03 05:08:58+00:00,1565929824375504896,https://twitter.com/JayhawkSlant/status/1565929824375504896,JayhawkSlant,Twitter Web App,"Olathe, KS","Lance Leipold gives his take on Jalon Daniels, the running backs, defense after a blowout over Tennessee Tech. #kufball

https://t.co/BxvetPZykb",14,3
68,2022-09-03 03:44:55+00:00,1565908671040815104,https://twitter.com/ctbecker/status/1565908671040815104,ctbecker,TweetDeck,"Lawrence, Kansas","Kansas coach Lance Leipold said Jalon Daniels looked ""comfortable"" in his start against Tennessee Tech. Admitted he got a tad greedy in the second half, but his comments were nearly all positive. #kufball",78,6
69,2022-09-03 03:43:52+00:00,1565908408565391372,https://twitter.com/ZacBoyer/status/1565908408565391372,ZacBoyer,Twitter Web App,"Lawrence, KS",Kansas' Lance Leipold said what Jalon Daniels has been working on since last season showed up today. The early deep throw to Quentin Skinner was something Andy Kotelnicki thought was going to be possible at that point in the game. #kufball,27,3
70,2022-09-02 12:52:09+00:00,1565684000944971776,https://twitter.com/610SportsKC/status/1565684000944971776,610SportsKC,Twitter for iPhone,Kansas City,"New “Wavin’ the Wheat” podcast w/ @nick_schwerdt 

- Lance Leipold isn’t selling you anything
- @BryBryStrick on how #kufball wins in 2022, why the offense could take a step forward, and what to expect from Jalon Daniels

🎧: https://t.co/peiePbh6X7 https://t.co/BrS89jwM1W",10,2
71,2022-08-29 16:52:19+00:00,1564294887687831552,https://twitter.com/ZacBoyer/status/1564294887687831552,ZacBoyer,Twitter Web App,"Lawrence, KS","Kansas coach Lance Leipold said Jalon Daniels, Sam Burt, Rich Miller and Mike Novitsky are the captains through a player vote. #kufball",22,2
